q,qer,theoreticKeyRate,n,N,L,frozenBitsAlgorithm,numInfoQudits,maxListSize,errorProb,keyRate,timeRate,numTrials
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,5,1,0.11,0.2971804688852168,0.0001244558125,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,5,2,0.03,0.2659304688852168,0.000157158015625,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,5,3,0.005,0.2476503907376807,0.00017719890624999998,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,5,4,0.01,0.23468046888521682,0.000185180171875,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,6,1,0.19,0.34671054703275295,0.00012221728124999997,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,6,2,0.1,0.31546054703275295,0.00015572298437500006,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,6,3,0.035,0.2971804688852168,0.00018046710937500002,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,6,4,0.035,0.28421054703275295,0.00019088785937500005,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,7,1,0.27,0.3962406251802891,0.0001223883281249999,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,7,2,0.205,0.3649906251802891,0.0001585760156250002,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,7,3,0.105,0.34671054703275295,0.00017850287500000006,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,7,4,0.105,0.3337406251802891,0.00019086428125,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,8,1,0.465,0.4457707033278252,0.0001227172812500002,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,8,2,0.29,0.4145207033278252,0.000157319765625,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,8,3,0.2,0.3962406251802891,0.00017932317187499991,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,8,4,0.12,0.3832707033278252,0.00020125518750000016,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,8,5,0.16,0.37321045036259515,0.0002223366093750001,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,9,1,0.655,0.49530078147536133,0.00012258139062500006,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,9,2,0.31,0.46405078147536133,0.0001861193750000001,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,9,3,0.235,0.4457707033278252,0.00023506951562499989,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,9,4,0.165,0.43280078147536133,0.0002555833593750001,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,9,5,0.145,0.4227405285101313,0.0002799744062499998,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,9,6,0.185,0.4145207033278252,0.0003033766874999999,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,10,1,0.63,0.5448308596228975,0.00012358029687499993,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,10,2,0.49,0.5135808596228975,0.00018816778124999988,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,10,3,0.345,0.49530078147536133,0.00023770120312500032,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,10,4,0.32,0.48233085962289746,0.0002613087812500003,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,10,5,0.325,0.4722706066576674,0.00028683178124999984,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,11,1,0.795,0.5943609377704336,0.0001241578281250011,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,11,2,0.575,0.5631109377704336,0.0001903280156249998,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,11,3,0.555,0.5448308596228975,0.00023916248437499954,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,11,4,0.5,0.5318609377704336,0.0002693214843750003,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,11,5,0.445,0.5218006848052036,0.0002973284062499992,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,11,6,0.47,0.5135808596228975,0.0003264252499999998,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,12,1,0.885,0.6438910159179697,0.0001232647499999995,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,12,2,0.74,0.6126410159179697,0.00018923626562500017,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,12,3,0.685,0.5943609377704335,0.0002399499062499999,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,12,4,0.66,0.5813910159179697,0.00027071401562499985,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,12,5,0.62,0.5713307629527397,0.0002988645781249999,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,12,6,0.575,0.5631109377704335,0.0003293849375000002,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,12,7,0.475,0.5561611746036695,0.0003610108125,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,12,8,0.59,0.5501410159179697,0.00038829809375000025,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,13,1,0.965,0.6934210940655059,0.0001225566093749997,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,13,2,0.92,0.6621710940655059,0.00019031821874999964,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,13,3,0.9,0.6438910159179697,0.00024054645312500012,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,13,4,0.815,0.6309210940655059,0.00029104821874999964,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,13,5,0.815,0.6208608411002758,0.00034216885937500053,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,14,1,0.995,0.742951172213042,0.0001236139062499997,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,14,2,0.98,0.711701172213042,0.000192729546874999,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,14,3,0.93,0.6934210940655058,0.00024844568750000075,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,14,4,0.92,0.680451172213042,0.0002967738906249995,200
3,0.98,0.4635219581793355,5,32,100,degradingUpgrading,14,5,0.93,0.6703909192478119,0.00034773810937499983,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,20,1,0.765,0.5200658205491294,0.00013839132812499934,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,20,2,0.675,0.5044408205491294,0.0002088446484375006,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,20,3,0.64,0.49530078147536133,0.0002676362890625006,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,20,4,0.555,0.4888158205491294,0.0003021574453125009,200
3,0.98,0.4635219581793355,6,64,100,degradingUpgrading,20,5,0.5,0.4837856940665144,0.0003398608671875003,200
